taxonID	scientificName	parentNameUsageID	taxonRank
T100991	Eleotris vittata	T100992	species
T100994	Ceyx picta	T100995	species
T100996	Cyathula prostrata	T100997	species
T101000	Lonchocarpus sericeus	T101001	species
T101004	Egretta intermedia	T100724	species
T101005	Pseudospondias microcarpa	T101006	species
T101009	Globorotalia merotumida	T100705	species
T101010	Uvigerina peregrina	T101011	species
T101013	Clavatorella bermudezi	T101014	species
T101015	Ploceus capensis	T101016	species
T101018	Subeucalanus pileatus	T101019	species
T101021	Tachybaptus ruficollis	T101022	species
T101025	Triquetrorhabdulus rugosus	T101026	species
T101027	Periophthalmus barbarus	T101028	species
T101029	Tilapia guineensis	T101030	species
T101033	Cinnyricinclus leucogaster	T101034	species
T101036	Liza falcipinnis	T101037	species
T101040	Miniopterus fraterculus	T101041	species
T101045	Cyanomitra olivacea	T101046	species
T101048	Oldenlandia herbacea	T101049	species
T101050	Sarotherodon melanotheron	T101051	species
T101052	Polycarpaea eriantha	T101053	species
T101055	Piper capense	T101056	species
T101059	Coccolithus miopelagicus	T100911	species
T101060	Sternoptyx diaphana	T101061	species
T101063	Ceratium carriense	T100983	species
T101064	Ceratium extensum	T100983	species
T101065	Clausena anisata	T101066	species
T101068	Triumfetta rhomboidea	T101069	species
T101072	Hydropuntia dentata	T101073	species
T101078	Usbekistania charoides	T101079	species
T101083	Tchagra senegalus	T101084	species
T101086	Glomospira charoides	T101087	species
T101088	Afrohybanthus enneaspermus	T101089	species
T101092	Triquetrorhabdulus carinatus	T101026	species
T101093	Acrostichum aureum	T101094	species
T101099	Pseuderanthemum tunicatum	T101100	species
T101101	Aplocheilichthys spilauchen	T101102	species
T101105	Eleotris annobonensis	T100992	species
T101106	Spiniferites ramosus	T101107	species
T101109	Euchaeta paraconcinna	T101110	species
T101112	Ptisana fraxinea	T101113	species
T101117	Terminalia catappa	T101118	species
T101119	Globorotalia hirsuta	T100705	species
T101120	Rhizophora harrisonii	T100957	species
T101121	Bathygobius soporator	T101122	species
T101123	Spiniferites membranaceus	T101107	species
T101124	Hydrocotyle bonariensis	T101125	species
T101128	Ximenia americana	T101129	species
T101132	Calidris alba	T101133	species
T101134	Auxis thazard	T101135	species
T101136	Himantopus himantopus	T101137	species
T101139	Panicum brevifolium	T101140	species
T101144	Megaceryle maximus	T100975	species
T101145	Milicia excelsa	T101146	species
T101149	Coturnix delegorguei	T101150	species
T101153	Globorotalia miocenica	T100705	species
T101154	Auxis rochei	T101135	species
T101155	Helicosphaera obliqua	T100858	species
T101156	Nycticorax nycticorax	T101157	species
T101158	Helicosphaera intermedia	T100858	species
T101159	Kaupifalco monogrammicus	T101160	species
T101161	Brycinus longipinnis	T101162	species
T101165	Tockus nasutus	T101166	species
T101169	Pontosphaera japonica	T100896	species
T101170	Globorotalia praescitula	T100705	species
T101171	Globorotalia praemenardii	T100705	species
T101172	Charadrius hiaticula	T101173	species
T101174	Ceuthmochares aereus	T101175	species
T101178	Globigerinella calida	T100650	species
T101179	Globorotalia puncticulata	T100705	species
T101180	Hoeglundina elegans	T101181	species
T101184	Globigerinoides bisphericus	T100110	species
T101185	Bacopa crenata	T101186	species
T101188	Epistomina elegans	T101189	species
T101190	Globigerinoides bispherica	T100110	species
T101191	Helicosphaera ampliaperta	T100858	species
T101192	Peperomia pellucida	T101193	species
T101194	Crassocephalum crepidioides	T101195	species
T101198	Thalasseus maximus	T100822	species
T101199	Lingulodinium machaerophorum	T101200	species
T101201	Muscicapa adusta	T101202	species
T101204	Globoturborotalita rubescens	T101205	species
T101206	Thalassionema nitzschioides	T101207	species
T101212	Globorotalia multicamerata	T100705	species
T101213	Decapterus punctatus	T101214	species
T101215	Ceratium vultur	T100983	species
T101216	Sicydium bustamantei	T101217	species
T101218	Cassidulina laevigata	T101219	species
T101221	Nymphaea lotus	T101222	species
T101225	Spermestes fringilloides	T100854	species
T101226	Operculodinium centrocarpum	T101227	species
T101228	Globorotalia pseudomiocenica	T100705	species
T101229	Arenaria interpres	T101230	species
T101231	Selenopemphix nephroides	T101232	species
T101234	Rourea coccinea	T101235	species
T101238	Globigerinoides trilobus	T100110	species
T101239	Kyphosus sectatrix	T101240	species
T101242	Globigerina digitata	T100663	species
T101243	Reophax bilocularis	T101244	species
T101246	Reophax scorpiurus	T101244	species
T101248	Discoaster quinqueramus	T100874	species
T101249	Lycopodiella cernua	T101250	species
T101255	Beella digitata	T101256	species
T101257	Pyrophacus vancampoae	T101258	species
T101260	Sphyraena guachancho	T100903	species
T101261	Chlidonias niger	T101262	species
T101263	Helicosphaera sellii	T100858	species
T101264	Cyclicargolithus abisectus	T100931	species
T101265	Nannocalanus minor	T101266	species
T101267	Ceratium fusus	T100983	species
T101268	Vanellus senegallus	T100933	species
T101269	Spiroplectammina navarroana	T101270	species
T101272	Alternanthera sessilis	T101273	species
T101274	Magnolia champaca	T101275	species
T101278	Pergularia daemia	T101279	species
T101281	Siphouvigerina hispida	T101282	species
T101283	Centropages furcatus	T101284	species
T101286	Pullenia bulloides	T101287	species
T101289	Cyperus ligularis	T101290	species
T101292	Carcharhinus falciformis	T100426	species
T101293	Epistominella exigua	T101294	species
T101296	Pupalia lappacea	T101297	species
T101298	Dichrocephala chrysanthemifolia	T101299	species
T101300	Asplenium variabile	T101301	species
T101303	Phaethon lepturus	T101304	species
T101307	Boehmeria platyphylla	T101308	species
